countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
1,Afghanistan,3,1,50.4000510585305,33.1489385637194,31.4616829133858,7.49040380577427,1999,2016,1962,2008,1962,31.4616829133858,0,787,2695,1929,1464
2,Albania,1,2,36.672816365266,11.7946876944166,19.2707559488931,6.30864839240865,1963,2010,1930,1977,1900,27.812307692629,1,2785,1657.33333333333,9272,4114
3,Algeria,3,2,49.7836731777037,16.5330301975299,24.3121383952612,4.97865428109855,1965,2016,1953,1993,1919,40.9231645050668,1,,,14331,9769
4,Angola,3,2,53.6569986013986,42.7403146370871,35.3072029819605,10.1257887399869,1988,2016,1953,2016,1930,44.7964899287616,1,4249,,8453,8453
5,Argentina,3,1,44.0329924273538,15.3891007399426,31.5847525439546,8.44903748775262,1862,2016,1869,1945,1869,31.5847525439546,0,2419.6,2558.2,18875,7652
6,Armenia,2,5,34.9866452922885,14.2736477030539,8.09684745762712,8.09684745762712,1953,2001,454,517,454,8.09684745762712,0,,,4015,
7,Australia,2,2,40.1610329242756,13.7090686553569,17.8386658173061,7.3724348157422,1850,1987,1851,1961,1851,17.8386658173061,0,3589,4259,29602,15721
8,Austria,1,1,38.3445761880573,13.1743680147214,31.2718096116181,11.3346068270554,1899,1934,1881,1941,1881,31.2718096116181,0,5004,3719,4944,7312
9,Azerbaijan,2,2,45.2410906555743,16.7602828379085,13.292434907712,6.13283447833603,1953,1999,1953,1988,1953,13.292434907712,0,,,4500,11669
10,"Bahamas, The",3,2,33.818262834418,13.6981315463279,13.172425884017,5.85289391796322,1954,2016,1948,1967,1918,24.957754161781,1,,,,
11,Bahrain,1,2,45.2964861507201,15.5809802509625,17.0580464030258,3.03244487469768,1960,2011,1953,1979,1918,36.4359774780831,1,,,36372,36785
12,Bangladesh,1,2,48.2396761293921,19.7520070831009,23.8286018872564,5.67171266834144,1973,2011,1953,2004,1910,39.3791674567552,1,1031,1135,2772,1979
13,Barbados,1,1,32.7992946453781,13.8126744919986,29.2366162123508,10.2876758891935,1954,1987,1923,1957,1923,29.2366162123508,0,3158,,10147,3717
14,Belarus,2,5,22.9825213409411,10.7355398427461,11.3261525423729,11.3261525423729,1953,1998,454,517,454,11.3261525423729,0,,,7292,
15,Belgium,1,2,31.6706377204885,13.6035635221024,26.7239318661836,10.9710957611121,1884,1940,1830,1956,1830,26.7239318661836,1,5145,2612.88235294118,7483,10536
16,Belize,3,2,40.9214661503872,20.7606500124906,21.7850744869334,5.94770153550864,1981,2016,1934,1972,1910,32.0609574777503,1,,,,
17,Benin,3,2,46.9115634191177,37.1280139705882,32.5743296522773,10.4912692339132,1987,2016,1951,2001,1939,38.0510547464807,1,1458,1306,2080,1752
18,Bhutan,1,2,48.5039474899721,18.5661337668652,31.9624377624873,6.41738613536749,1977,2012,1953,2004,1938,39.6434388173351,1,,,,
19,Bolivia,3,2,44.530255387071,23.3870539704709,26.6889666554382,7.4229334410618,1969,2016,1942,2011,1910,35.6697467144341,1,3565,3018,6355,5331
20,Bosnia and Herzegovina,2,2,33.7160377890944,9.44628092795771,13.5307944487578,7.9564494371118,1953,2000,1953,1964,1953,13.5307944487578,0,1455,1455,6196,2687
21,Botswana,3,2,46.962035335689,20.3670316484867,21.2786196863235,9.89201204103095,1971,2016,1951,1977,1913,38.1015266630521,1,1772,793,15198,3009
22,Brazil,1,2,43.5760324195905,14.7104179200058,31.4642791632104,6.00694901038732,1957,2010,1872,1994,1857,34.7155237469536,1,3619,1454,14392,10625
23,Brunei Darussalam,1,2,50.1743133802817,16.5345460680751,17.6500934459805,3.71282411674347,1954,2007,1948,1974,1904,41.3138047076447,1,,,,
24,Bulgaria,1,1,38.5320773149117,9.28115797920592,22.4714815742392,11.6388888305682,1906,1991,1918,1948,1918,22.4714815742392,0,1892.5,1809.1,9033,2467
25,Burkina Faso,3,1,47.8360901213171,39.4550584055459,30.6301948889725,8.90151589218461,1997,2016,1951,2016,1951,30.6301948889725,0,959,511,1483,1483
26,Burundi,3,2,48.8936539522059,40.8376150735294,25.000333902117,11.3135384836597,1987,2016,1951,2016,1880,40.0331452795689,1,985,556,665,665
27,Cambodia,3,1,44.639732166891,19.2180323014805,30.3224514512785,9.05043189357291,1985,2016,1981,1987,1981,30.3224514512785,0,946,798,3251,916
28,Cameroon,3,2,44.9285244755245,37.1851490233904,23.3216775799243,10.3638022161544,1988,2016,1951,2016,1888,36.0680158028875,1,3197,1532,2828,2828
